 ,231225,
込,9817,中学校
賞,9811,4年生
及,9740,中学校
周,9693,4年生
施,9685,中学校
響,9679,中学校
党,9615,6年生
与,9612,中学校
優,9511,6年生
陸,9511,4年生
戸,9479,2年生
価,9452,5年生
非,9343,5年生
校,9272,1年生
撃,9270,中学校
件,9266,5年生
局,9211,3年生
死,9154,3年生
星,9118,2年生
低,9113,4年生
木,9111,1年生
昭,9047,3年生
科,9027,2年生
史,9015,4年生
管,8979,4年生
算,8936,2年生
住,8920,3年生
宮,8915,3年生
食,8855,2年生
情,8829,5年生
率,8823,5年生
提,8822,5年生
更,8820,中学校
容,8775,5年生
兵,8752,4年生
達,8737,4年生
割,8723,6年生
走,8627,2年生
想,8597,3年生
米,8572,2年生
予,8545,3年生
彼,8521,中学校
資,8480,5年生
役,8438,3年生
官,8410,4年生
円,8402,1年生
展,8388,6年生
圧,8361,5年生
帝,8357,中学校
真,8288,3年生
挙,8285,4年生
完,8243,4年生
波,8182,3年生
張,8165,5年生
採,8148,5年生
標,8058,4年生
図,7988,2年生
英,7984,4年生
院,7977,3年生
頭,7972,2年生
残,7970,4年生
複,7948,5年生
屋,7935,3年生
値,7893,6年生
試,7877,4年生
積,7833,4年生
然,7812,4年生
勢,7768,5年生
客,7745,3年生
済,7739,6年生
葉,7723,3年生
門,7671,2年生
隊,7670,4年生
念,7669,4年生
細,7665,2年生
十,7664,1年生
害,7647,4年生
照,7599,4年生
継,7585,中学校
思,7538,2年生
除,7449,6年生
普,7420,中学校
帯,7418,4年生
停,7387,4年生
白,7375,1年生
風,7363,2年生
断,7362,5年生
末,7348,4年生
良,7229,4年生
旧,7186,5年生
源,7177,6年生
酸,7125,5年生
供,7106,6年生
商,7102,3年生
極,7096,4年生
歌,7093,2年生
案,7067,4年生
視,7053,6年生
整,7053,3年生
館,7033,3年生
従,7025,6年生
退,7015,5年生
個,7001,5年生
諸,6979,6年生
復,6963,5年生
育,6946,3年生
験,6927,4年生
橋,6916,3年生
協,6914,4年生
御,6902,中学校
難,6888,6年生
温,6868,3年生
求,6832,4年生
著,6817,6年生
消,6808,3年生
模,6803,6年生
境,6785,5年生
首,6771,2年生
村,6760,1年生
差,6749,4年生
頃,6749,
減,6744,5年生
打,6712,3年生
攻,6690,中学校
城,6672,6年生
江,6634,中学校
感,6628,3年生
効,6582,5年生
井,6552,中学校
廃,6538,中学校
段,6530,6年生
査,6517,5年生
宗,6497,6年生
環,6474,中学校
専,6463,6年生
洋,6452,3年生
松,6441,4年生
像,6434,5年生
衛,6424,5年生
識,6396,5年生
港,6366,3年生
河,6360,5年生
親,6349,2年生
四,6342,1年生
投,6339,3年生
失,6335,4年生
店,6324,2年生
検,6322,5年生
評,6277,5年生
銀,6251,3年生
将,6243,6年生
漫,6239,中学校
省,6232,4年生
今,6219,2年生
防,6201,5年生
寺,6160,2年生
千,6138,1年生
追,6136,3年生
園,6131,2年生
足,6118,1年生
火,6115,1年生
根,6088,3年生
横,6080,3年生
端,6077,中学校
証,6076,5年生
催,6074,中学校
測,6061,5年生
満,6027,4年生
歴,6015,4年生
令,5992,4年生
男,5982,1年生
氏,5975,4年生
職,5959,5年生
輸,5932,5年生
階,5931,3年生
央,5918,3年生
処,5914,6年生
違,5902,中学校
仕,5850,3年生
読,5837,2年生
策,5830,6年生
推,5802,6年生
落,5789,3年生
美,5785,3年生
郎,5764,中学校
熱,5741,4年生
告,5716,4年生
藤,5698,
越,5690,中学校
扱,5680,中学校
描,5666,中学校
宇,5644,6年生
衆,5640,6年生
敗,5623,4年生
則,5591,5年生
崎,5586,中学校
陽,5586,3年生
岡,5565,
適,5553,5年生
遺,5543,6年生
津,5536,中学校
担,5531,6年生
誌,5505,6年生
密,5499,6年生
何,5495,2年生
補,5463,6年生
占,5460,中学校
写,5452,3年生
互,5433,中学校
去,5374,3年生
航,5337,4年生
座,5334,6年生
谷,5330,2年生
略,5299,5年生
辺,5284,4年生
典,5279,4年生
歳,5276,中学校
徴,5272,中学校
創,5233,6年生
渡,5228,中学校
声,5225,2年生
福,5205,3年生
企,5194,中学校
雑,5170,5年生
旅,5146,3年生
節,5127,4年生
飛,5114,4年生
刊,5104,5年生
師,5103,5年生
護,5103,5年生
母,5089,2年生
超,5067,中学校
愛,5053,4年生
返,5045,3年生
拡,5044,6年生
破,5044,5年生
幕,5037,6年生
船,5036,2年生
材,5028,4年生
席,5026,4年生
項,4970,中学校
修,4942,5年生
好,4932,4年生
貨,4923,4年生
軌,4921,中学校
費,4919,4年生
角,4914,2年生
帰,4884,2年生
因,4871,5年生
室,4863,2年生
幹,4826,5年生
仏,4826,5年生
券,4814,5年生
販,4798,中学校
囲,4794,4年生
働,4787,4年生
監,4778,中学校
了,4775,中学校
順,4767,4年生
伴,4766,中学校
短,4762,3年生
並,4760,6年生
植,4760,3年生
織,4748,5年生
層,4738,6年生
農,4721,3年生
級,4713,3年生
快,4706,5年生
盟,4699,6年生
負,4699,3年生
五,4690,1年生
深,4688,3年生
劇,4678,6年生
悪,4661,3年生
青,4649,1年生
乱,4644,6年生
易,4617,5年生
拠,4606,中学校
守,4600,3年生
助,4595,3年生
抗,4593,中学校
赤,4585,1年生
逆,4573,5年生
固,4562,4年生
注,4547,3年生
延,4529,6年生
殺,4526,4年生
司,4525,4年生
黒,4522,2年生
委,4515,3年生
裁,4486,6年生
射,4475,6年生
漢,4475,3年生
父,4475,2年生
具,4458,3年生
蔵,4457,6年生
為,4456,中学校
精,4409,5年生
伊,4402,
仮,4401,5年生
左,4388,1年生
併,4383,中学校
紙,4381,2年生
革,4377,6年生
岸,4375,3年生
富,4373,5年生
病,4364,3年生
聞,4355,2年生
籍,4346,中学校
許,4332,5年生
右,4320,1年生
未,4315,4年生
郡,4284,4年生
労,4253,4年生
盛,4250,6年生
浜,4245,中学校
吉,4235,中学校
訳,4233,6年生
留,4226,5年生
介,4221,中学校
巻,4219,6年生
振,4213,中学校
核,4209,中学校
督,4208,中学校
沢,4177,中学校
徳,4170,5年生
聖,4153,6年生
至,4150,6年生
札,4141,4年生
街,4138,4年生
築,4132,5年生
途,4124,中学校
混,4122,5年生
替,4115,中学校
磁,4114,6年生
障,4108,6年生
闘,4092,中学校
興,4078,5年生
壊,4058,中学校
群,4053,5年生
宙,4023,6年生
臣,4019,4年生
奏,4018,6年生
翌,4017,6年生
藩,4004,中学校
暦,3994,中学校
似,3993,5年生
八,3984,1年生
印,3982,4年生
布,3978,5年生
給,3970,4年生
花,3959,1年生
寄,3949,5年生
夜,3936,2年生
億,3924,4年生
博,3924,4年生
医,3905,3年生
較,3904,中学校
概,3900,中学校
